split_threshold max_recursion_depth n time
10 0 1000 3674.5
10 1 1000 4612.7
10 2 1000 4453.9
10 3 1000 5184.8
10 4 1000 8088.8
10 5 1000 15366.8
10 6 1000 28064.8
10 7 1000 52118.1
10 8 1000 47401.0
10 9 1000 53592.3
10 10 1000 48188.0
35 0 1000 3166.8
35 1 1000 3597.8
35 2 1000 3972.9
35 3 1000 4940.1
35 4 1000 8138.7
35 5 1000 12410.9
35 6 1000 13445.7
35 7 1000 14059.2
35 8 1000 12691.5
35 9 1000 15629.3
35 10 1000 13146.1
60 0 1000 3221.1
60 1 1000 3470.4
60 2 1000 3983.0
60 3 1000 4860.3
60 4 1000 9637.5
60 5 1000 14002.8
60 6 1000 14208.9
60 7 1000 13255.0
60 8 1000 12008.2
60 9 1000 13637.5
60 10 1000 12741.4
85 0 1000 3116.0
85 1 1000 4282.0
85 2 1000 3988.3
85 3 1000 4723.8
85 4 1000 7332.3
85 5 1000 7388.4
85 6 1000 6881.4
85 7 1000 7419.3
85 8 1000 7167.5
85 9 1000 6580.3
85 10 1000 7290.2
110 0 1000 3166.1
110 1 1000 3427.2
110 2 1000 3780.7
110 3 1000 4838.9
110 4 1000 7025.4
110 5 1000 8272.1
110 6 1000 6950.7
110 7 1000 7731.2
110 8 1000 7175.8
110 9 1000 7544.9
110 10 1000 7066.2
135 0 1000 3025.3
135 1 1000 3274.8
135 2 1000 3654.0
135 3 1000 4732.8
135 4 1000 4700.2
135 5 1000 4628.4
135 6 1000 4522.4
135 7 1000 4576.2
135 8 1000 4683.2
135 9 1000 4933.0
135 10 1000 4568.8
160 0 1000 3082.8
160 1 1000 3260.0
160 2 1000 3771.6
160 3 1000 4805.7
160 4 1000 4688.3
160 5 1000 4584.2
160 6 1000 4633.2
160 7 1000 4696.2
160 8 1000 4297.4
160 9 1000 4631.3
160 10 1000 4894.4
185 0 1000 3139.3
185 1 1000 3283.7
185 2 1000 3810.9
185 3 1000 4469.0
185 4 1000 4822.1
185 5 1000 4673.5
185 6 1000 5003.8
185 7 1000 4594.1
185 8 1000 4659.5
185 9 1000 4545.0
185 10 1000 4750.6
210 0 1000 3126.1
210 1 1000 3222.8
210 2 1000 3839.3
210 3 1000 4558.9
210 4 1000 4521.1
210 5 1000 4864.8
210 6 1000 4899.2
210 7 1000 5062.9
210 8 1000 4725.1
210 9 1000 4555.4
210 10 1000 4524.5
235 0 1000 3953.1
235 1 1000 3305.2
235 2 1000 3665.4
235 3 1000 4655.5
235 4 1000 4617.7
235 5 1000 4813.5
235 6 1000 4621.6
235 7 1000 4640.6
235 8 1000 4747.8
235 9 1000 4669.9
235 10 1000 4794.7
260 0 1000 4044.5
260 1 1000 3284.3
260 2 1000 3662.0
260 3 1000 3602.0
260 4 1000 3632.7
260 5 1000 3641.6
260 6 1000 3706.1
260 7 1000 3560.3
260 8 1000 3573.9
260 9 1000 3516.8
260 10 1000 4613.0
285 0 1000 4141.5
285 1 1000 3309.7
285 2 1000 3624.2
285 3 1000 3620.6
285 4 1000 3509.9
285 5 1000 3696.9
285 6 1000 3648.9
285 7 1000 3721.0
285 8 1000 3849.5
285 9 1000 3781.2
285 10 1000 3601.7
310 0 1000 3133.4
310 1 1000 3303.4
310 2 1000 3678.9
310 3 1000 3699.8
310 4 1000 3631.4
310 5 1000 3739.0
310 6 1000 3456.2
310 7 1000 3719.7
310 8 1000 3685.6
310 9 1000 3611.1
310 10 1000 3715.9
335 0 1000 3294.2
335 1 1000 3318.0
335 2 1000 3661.8
335 3 1000 3537.9
335 4 1000 3486.6
335 5 1000 3665.1
335 6 1000 3710.8
335 7 1000 3727.0
335 8 1000 3689.4
335 9 1000 3698.8
335 10 1000 3496.9
360 0 1000 3226.7
360 1 1000 3444.2
360 2 1000 3520.9
360 3 1000 3636.2
360 4 1000 3440.9
360 5 1000 3475.2
360 6 1000 3615.8
360 7 1000 3747.4
360 8 1000 3773.0
360 9 1000 3645.4
360 10 1000 3666.7
385 0 1000 3119.7
385 1 1000 3312.6
385 2 1000 3609.5
385 3 1000 3653.2
385 4 1000 4230.3
385 5 1000 3672.6
385 6 1000 3567.4
385 7 1000 3603.9
385 8 1000 3705.5
385 9 1000 3792.1
385 10 1000 3745.2
410 0 1000 3171.6
410 1 1000 3319.9
410 2 1000 3459.3
410 3 1000 3626.5
410 4 1000 3634.5
410 5 1000 3533.9
410 6 1000 8091.1
410 7 1000 3773.0
410 8 1000 3663.4
410 9 1000 3539.1
410 10 1000 3591.6
435 0 1000 3091.1
435 1 1000 3324.5
435 2 1000 3626.6
435 3 1000 3495.6
435 4 1000 3600.1
435 5 1000 3785.5
435 6 1000 3804.7
435 7 1000 3633.3
435 8 1000 3627.2
435 9 1000 3610.6
435 10 1000 3772.9
460 0 1000 3069.7
460 1 1000 3274.7
460 2 1000 3530.9
460 3 1000 3539.7
460 4 1000 3476.6
460 5 1000 3591.4
460 6 1000 3592.8
460 7 1000 3909.8
460 8 1000 3717.3
460 9 1000 4701.6
460 10 1000 3844.4
485 0 1000 3314.0
485 1 1000 3320.7
485 2 1000 3547.9
485 3 1000 3797.7
485 4 1000 3837.4
485 5 1000 3626.0
485 6 1000 3669.6
485 7 1000 3538.9
485 8 1000 3665.1
485 9 1000 3648.0
485 10 1000 3652.6
510 0 1000 3376.1
510 1 1000 3385.9
510 2 1000 3386.7
510 3 1000 3365.5
510 4 1000 3499.9
510 5 1000 3837.7
510 6 1000 3407.3
510 7 1000 3783.7
510 8 1000 3477.3
510 9 1000 4512.0
510 10 1000 3404.1
535 0 1000 3577.4
535 1 1000 4235.7
535 2 1000 3410.1
535 3 1000 3371.0
535 4 1000 3416.5
535 5 1000 3802.2
