split_threshold max_recursion_depth n time
10 0 1000 3370.4
10 1 1000 3914.9
10 2 1000 4148.0
10 3 1000 7566.0
10 4 1000 9287.4
10 5 1000 21603.8
10 6 1000 30712.4
10 7 1000 54944.3
10 8 1000 50042.8
10 9 1000 51816.8
10 10 1000 48587.6
35 0 1000 3123.5
35 1 1000 3377.0
35 2 1000 3663.2
35 3 1000 4970.1
35 4 1000 6789.2
35 5 1000 12870.8
35 6 1000 13151.4
35 7 1000 17884.0
35 8 1000 11513.1
35 9 1000 16564.5
35 10 1000 13140.0
60 0 1000 3084.7
60 1 1000 3389.9
60 2 1000 3919.6
60 3 1000 5328.5
60 4 1000 8002.0
60 5 1000 12598.8
60 6 1000 17038.0
60 7 1000 13230.6
60 8 1000 13109.2
60 9 1000 14788.1
60 10 1000 13777.5
85 0 1000 3192.9
85 1 1000 3272.6
85 2 1000 3577.6
85 3 1000 4937.6
85 4 1000 6867.8
85 5 1000 7042.4
85 6 1000 7435.2
85 7 1000 6283.4
85 8 1000 6636.3
85 9 1000 7331.7
85 10 1000 7299.4
110 0 1000 3946.5
110 1 1000 3358.4
110 2 1000 3835.8
110 3 1000 5029.3
110 4 1000 7945.4
110 5 1000 7082.1
110 6 1000 8044.8
110 7 1000 8985.9
110 8 1000 7305.3
110 9 1000 7611.0
110 10 1000 7577.8
135 0 1000 3424.8
135 1 1000 3359.4
135 2 1000 3785.5
135 3 1000 4558.6
135 4 1000 4659.3
135 5 1000 4795.4
135 6 1000 4415.1
135 7 1000 4676.3
135 8 1000 4470.7
135 9 1000 4564.2
135 10 1000 4767.6
160 0 1000 4193.5
160 1 1000 3303.7
160 2 1000 3783.7
160 3 1000 4499.8
160 4 1000 4646.1
160 5 1000 4600.2
160 6 1000 4784.8
160 7 1000 4830.3
160 8 1000 4558.3
160 9 1000 4662.7
160 10 1000 4744.1
185 0 1000 3247.4
185 1 1000 3325.3
185 2 1000 3829.7
185 3 1000 4479.0
185 4 1000 4692.8
185 5 1000 4710.3
185 6 1000 4568.5
185 7 1000 4824.3
185 8 1000 5000.1
185 9 1000 4375.0
185 10 1000 4708.9
210 0 1000 3443.1
210 1 1000 3351.0
210 2 1000 3959.6
210 3 1000 4795.6
210 4 1000 4492.1
210 5 1000 4939.2
210 6 1000 4708.7
210 7 1000 4569.9
210 8 1000 4763.3
210 9 1000 4927.7
210 10 1000 4794.0
235 0 1000 8492.2
235 1 1000 3410.2
235 2 1000 3682.6
235 3 1000 4835.9
235 4 1000 4607.5
235 5 1000 5043.9
235 6 1000 4583.4
235 7 1000 6218.6
235 8 1000 4885.7
235 9 1000 5602.3
235 10 1000 6618.4
260 0 1000 3404.6
260 1 1000 3519.7
260 2 1000 3843.1
260 3 1000 3806.3
260 4 1000 3835.4
260 5 1000 3827.3
260 6 1000 4068.9
260 7 1000 4198.6
260 8 1000 4396.2
260 9 1000 4317.6
260 10 1000 3963.2
285 0 1000 3220.9
285 1 1000 3466.6
285 2 1000 4093.8
285 3 1000 4346.5
285 4 1000 4069.7
285 5 1000 4497.3
285 6 1000 4121.7
285 7 1000 4206.5
285 8 1000 4465.0
285 9 1000 4815.0
285 10 1000 3927.2
310 0 1000 3404.1
310 1 1000 3470.4
310 2 1000 3891.9
310 3 1000 3844.4
310 4 1000 4211.2
310 5 1000 4189.3
310 6 1000 4148.1
310 7 1000 4280.0
310 8 1000 4312.2
310 9 1000 3962.2
310 10 1000 4284.4
335 0 1000 3276.6
335 1 1000 3464.9
335 2 1000 3941.0
335 3 1000 5470.3
335 4 1000 4352.5
335 5 1000 4268.6
335 6 1000 4125.4
335 7 1000 4372.7
335 8 1000 4456.9
335 9 1000 6451.7
335 10 1000 3934.1
360 0 1000 3382.3
360 1 1000 3465.8
360 2 1000 4385.3
360 3 1000 4146.9
360 4 1000 3788.6
360 5 1000 4197.2
360 6 1000 4242.2
360 7 1000 4212.3
360 8 1000 4014.9
360 9 1000 4014.9
360 10 1000 3943.1
385 0 1000 3475.1
385 1 1000 3372.6
385 2 1000 3854.6
385 3 1000 3963.2
385 4 1000 4022.9
385 5 1000 3906.3
385 6 1000 4169.7
385 7 1000 4285.4
385 8 1000 3911.5
385 9 1000 3954.1
385 10 1000 4186.2
410 0 1000 3427.8
410 1 1000 3493.3
410 2 1000 3822.4
410 3 1000 4355.8
410 4 1000 3797.8
410 5 1000 4018.4
410 6 1000 3775.7
410 7 1000 3728.9
410 8 1000 3878.2
410 9 1000 4422.6
410 10 1000 3943.0
435 0 1000 3403.5
435 1 1000 3557.4
435 2 1000 3955.6
435 3 1000 4085.1
435 4 1000 4110.1
435 5 1000 4380.1
435 6 1000 4230.7
435 7 1000 4064.8
435 8 1000 7755.9
435 9 1000 4217.4
435 10 1000 4070.3
460 0 1000 3441.1
460 1 1000 3492.7
460 2 1000 4278.0
460 3 1000 4243.1
460 4 1000 4000.2
460 5 1000 3973.3
460 6 1000 4029.3
460 7 1000 4409.7
460 8 1000 3892.5
460 9 1000 4234.8
460 10 1000 4249.7
485 0 1000 3325.3
485 1 1000 3464.0
485 2 1000 4312.3
485 3 1000 4039.1
485 4 1000 4359.4
485 5 1000 4165.1
485 6 1000 4299.9
485 7 1000 3913.2
485 8 1000 4279.4
485 9 1000 4344.4
485 10 1000 4284.0
510 0 1000 4491.8
510 1 1000 3557.4
510 2 1000 3594.9
510 3 1000 3609.9
510 4 1000 3677.2
510 5 1000 3602.6
510 6 1000 3509.7
510 7 1000 3472.8
510 8 1000 3562.0
510 9 1000 3595.9
510 10 1000 3466.7
535 0 1000 3654.3
535 1 1000 3455.4
535 2 1000 3585.0
535 3 1000 3557.1
535 4 1000 3524.7
535 5 1000 3545.0
535 6 1000 3655.0
535 7 1000 3568.7
535 8 1000 3526.7
535 9 1000 3532.8
535 10 1000 3583.7
560 0 1000 3559.4
560 1 1000 3670.4
560 2 1000 3485.7
560 3 1000 3518.5
560 4 1000 3546.8
560 5 1000 3495.3
560 6 1000 3676.9
560 7 1000 3583.9
560 8 1000 3644.6
560 9 1000 3666.4
560 10 1000 3573.3
585 0 1000 3544.9
585 1 1000 3576.2
585 2 1000 3570.2
585 3 1000 3618.8
585 4 1000 3592.6
585 5 1000 3502.2
585 6 1000 3596.4
585 7 1000 3587.5
